release_date,vote_average
1902,7.9
1903,7.005
1915,6.0
1916,7.1
1918,7.332
1920,7.917
1921,7.9865
1922,7.7
1923,7.7
1924,7.9465
1925,7.566666666666666
1926,7.95
1927,7.670333333333333
1928,7.74
1929,7.416
1930,7.3
1931,7.6696
1932,7.220000000000001
1933,7.3215
1934,7.3149999999999995
1935,7.3985
1936,7.794
1937,7.233333333333333
1938,7.424166666666667
1939,7.669833333333333
1940,7.623444444444445
1941,7.304333333333334
1942,7.1912
1943,7.76675
1944,7.3545
1945,7.5699
1946,7.541307692307692
1947,7.32675
1948,7.50690909090909
1949,7.405
1950,7.561181818181819
1951,7.3370999999999995
1952,7.79525
1953,7.336315789473684
1954,7.454
1955,7.3955
1956,7.436599999999999
1957,7.650111111111111
1958,7.386230769230769
1959,7.492533333333333
1960,7.475333333333334
1961,7.513105263157894
1962,7.611724137931035
1963,7.384583333333333
1964,7.41124
1965,7.2661
1966,7.392961538461539
1967,7.283652173913043
1968,7.1300333333333334
1969,7.178050000000001
1970,7.150545454545455
1971,7.1034999999999995
1972,7.044878787878788
1973,7.262767441860465
1974,7.120526315789474
1975,7.183241379310345
1976,7.120941176470588
1977,6.955193548387096
1978,6.873384615384616
1979,7.079028571428571
1980,6.9037999999999995
1981,6.913057692307692
1982,6.96521568627451
1983,6.90475
1984,6.848367647058824
1985,6.804878378378378
1986,6.858802816901409
1987,6.8988571428571435
1988,6.860045454545454
1989,6.822710526315789
1990,6.744253164556962
1991,6.863012500000001
1992,6.8458571428571435
1993,6.895635514018691
1994,6.836313131313131
1995,6.865464912280702
1996,6.7176310679611655
1997,6.829973913043478
1998,6.847390243902439
1999,6.834413793103448
2000,6.831615384615385
2001,6.73287417218543
2002,6.754716981132075
2003,6.777163522012579
2004,6.7801404494382025
2005,6.7441843575419
2006,6.760357142857143
2007,6.72952466367713
2008,6.704834905660377
2009,6.751648888888889
2010,6.669752988047809
2011,6.708268292682926
2012,6.710142222222222
2013,6.69328275862069
2014,6.7206449511400645
2015,6.737294736842105
2016,6.760191558441559
2017,6.759571865443426
2018,6.80393641618497
2019,6.882152542372882
2020,6.81942700729927
2021,6.907192810457516
2022,6.8803485915492955
2023,6.943176991150442
2024,6.84922641509434
2025,6.844333333333334
