title,release_date,popularity,vote_average,vote_count,popularity_scaled,rating_category
The Shawshank Redemption,1994-09-23,5.522,8.708,27883,0.18608807067233124,High
The Godfather,1972-03-14,5.317,8.689,21151,0.17917593903837076,High
The Godfather Part II,1974-12-20,4.747,8.57,12771,0.15995684132443183,High
Schindler's List,1993-12-15,4.457,8.567,16219,0.15017870389102433,High
Counterattack,2025-02-27,9.43,8.524,431,0.31785690201631933,High
12 Angry Men,1957-04-10,4.281,8.5,8956,0.1442443860004046,High
Spirited Away,2001-07-20,4.573,8.5,16909,0.15408995886438734,High
Dilwale Dulhania Le Jayenge,1995-10-20,3.541,8.5,4467,0.11929327668757164,High
The Dark Knight,2008-07-16,5.572,8.519,33542,0.18777395643671183,High
The Green Mile,1999-12-10,4.775,8.505,17894,0.160900937352485,High
Parasite,2019-05-30,5.007,8.501,18788,0.168723447299211,High
Pulp Fiction,1994-09-10,5.676,8.489,28429,0.1912805988266235,High
Your Name.,2016-08-26,4.661,8.485,11643,0.1570571178096972,High
The Lord of the Rings: The Return of the King,2003-12-17,4.91,8.481,24794,0.16545282891631263,High
Forrest Gump,1994-06-23,5.249,8.468,27954,0.17688313439881312,High
"The Good, the Bad and the Ugly",1966-12-22,4.485,8.5,8856,0.15112279991907748,High
Seven Samurai,1954-04-26,3.819,8.458,3821,0.1286668015375278,High
GoodFellas,1990-09-12,5.621,8.457,13178,0.18942612448580484,High
Interstellar,2014-11-05,5.868,8.5,36706,0.19775440016184503,High
Grave of the Fireflies,1988-04-16,0.004,8.45,5777,3.37177152876121e-05,High
Life Is Beautiful,1997-12-20,3.904,8.446,13237,0.13153280733697484,High
Fight Club,1999-10-15,5.37,8.438,29969,0.18096297794861418,High
Cinema Paradiso,1988-11-17,3.785,8.4,4477,0.127520399217749,High
City of God,2002-08-30,4.657,8.426,7545,0.15692224694854676,High
Psycho,1960-06-22,4.609,8.4,10250,0.15530379661474136,High
Impossible Things,2021-06-17,3.55,8.4,398,0.11959673612516014,High
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,4.815,8.4,25710,0.16224964596398947,High
Once Upon a Time in America,1984-05-23,4.579,8.415,5523,0.154292265156113,High
One Flew Over the Cuckoo's Nest,1975-11-19,4.485,8.4,10650,0.15112279991907748,High
Gabriel's Inferno,2020-05-29,1.627,8.413,2416,0.054757569627082066,High
Harakiri,1962-09-15,3.574,8.412,1044,0.12040596129206284,High
A Dog's Will,2000-09-15,3.568,8.411,1141,0.12020365500033717,High
The Lord of the Rings: The Two Towers,2002-12-18,4.9,8.401,22328,0.1651156517634365,High
Howl's Moving Castle,2004-09-09,4.244,8.4,10149,0.14299683053476295,High
Spider-Man: Into the Spider-Verse,2018-12-06,5.095,8.395,15964,0.17169060624452084,High
The Empire Strikes Back,1980-05-20,3.178,8.4,17243,0.10705374603816845,High
Primal: Tales of Savagery,2019-11-21,3.548,8.387,328,0.11952930069458492,High
Radical,2023-10-19,3.574,8.384,444,0.12040596129206284,High
Gabriel's Inferno: Part II,2020-07-31,1.627,8.383,1518,0.054757569627082066,High
A Silent Voice: The Movie,2016-09-17,3.687,8.4,4049,0.124216063119563,High
Lucy Shimmers and the Prince of Peace,2020-10-19,3.543,8.4,300,0.11936071211814687,High
The Pianist,2002-09-17,5.17,8.379,9387,0.17421943489109176,High
Gabriel's Inferno: Part III,2020-11-19,3.542,8.378,1057,0.11932699440285925,High
Hope,2013-10-02,3.533,8.4,757,0.11902353496527074,High
Whiplash,2014-10-10,6.581,8.375,15456,0.22179513116191246,High
Se7en,1995-09-22,4.924,8.374,21482,0.1659248769303392,High
Inception,2010-07-15,5.201,8.4,37174,0.17526468406500773,High
The Legend of Hei,2019-08-27,3.539,8.4,379,0.11922584125699642,High
Rear Window,1954-08-01,4.043,8.35,6612,0.13621956976195293,High
Spider-Man: Across the Spider-Verse,2023-05-31,4.747,8.345,7380,0.15995684132443183,High
The Silence of the Lambs,1991-02-14,1.101,8.345,16630,0.037022051385798095,High
Dou kyu sei – Classmates,2016-02-20,3.541,8.3,399,0.11929327668757164,High
High and Low,1963-03-01,3.781,8.339,953,0.12738552835659855,High
American History X,1998-07-01,4.159,8.339,11755,0.1401308247353159,High
The Wild Robot,2024-09-12,6.621,8.337,4526,0.22314383977341695,High
Princess Mononoke,1997-07-12,3.911,8.3,8202,0.13176883134398812,High
The Quintessential Quintuplets Movie,2022-05-20,3.551,8.3,405,0.11963045384044776,High
